station_name,latitude,longitude
Serangoon (NE11),1.351048289635107,103.8710704171983
Kovan (NE12),1.359901919529756,103.8844947251966
Hougang (NE13),1.370334724291605,103.8922617579371
Buangkok (NE14),1.383694171999941,103.8930499813181
Sengkang (NE15),1.391694626015214,103.895484694279
Punggol (NE16),1.414927333886055,103.9101663881767
Punggol Coast (NE17),1.414927333886055,103.9101663881767
Bras Basah (CC2),1.296861686496568,103.8506673716367
Esplanade (CC3),1.291339907074546,103.8546094750283
Promenade (CC4),1.293997986362327,103.8603500001881
Nicoll Highway (CC5),1.299766846751384,103.8636369657193
Stadium (CC6),1.302812468470708,103.8753377110883
Mountbatten (CC7),1.306154061289133,103.8830451486952
Dakota (CC8),1.308431443314637,103.8892682084216
MacPherson (CC10),1.326839632324859,103.8900078604636
Tai Seng (CC11),1.335141501392029,103.8883893001908
Bartley (CC12),1.342445438292511,103.8801970871163
Lorong Chuan (CC14),1.351531286215865,103.8648121695135
Marymount (CC16),1.34870726345101,103.8394231323315
Caldecott (CC17),1.337347223202126,103.8395440775605
Botanic Gardens (CC18),1.32238699517166,103.8153854630931
Farrer Road (CC19),1.317439151589664,103.8073792141607
Holland Village (CC20),1.312240296315966,103.796399122407
one-north (CC22),1.299759874935558,103.7874575052496
Kent Ridge (CC23),1.293533498871235,103.7845727381728
Haw Par Villa (CC24),1.281956886848984,103.7819889901364
Pasir Panjang (CC25),1.27621352233767,103.7913503132878
Labrador Park (CC26),1.272368386269524,103.8034162320884
Telok Blangah (CC27),1.270706477177624,103.8097616112185
Keppel (CC29),1.269772201244406,103.8300314595233
Cantonment (CC30),1.27287214563204,103.8370623137639
Prince Edward Road (CC31),1.273156936360872,103.847097123745
Bayfront (CC33),1.281873788792091,103.8590797648737
Bukit Panjang (DT1),1.379561212366134,103.7611888662513
Cashew (DT2),1.369846013657411,103.764315051619
Hillview (DT3),1.362888457151686,103.7677809077064
Hume (DT4),1.354595323950304,103.7691188518866
Beauty World (DT5),1.340901490014312,103.7757467177778
King Albert Park (DT6),1.335893496278011,103.7832358632324
Sixth Avenue (DT7),1.330857645362268,103.7969068382873
Stevens (DT9),1.320065557506253,103.8260244019237
Rochor (DT12),1.30385218527656,103.8527694288838
Downtown (DT16),1.279446381789169,103.8528408295805
Telok Ayer (DT17),1.282068947693958,103.848648781083
Fort Canning (DT19),1.292481948229968,103.8443313624644
Bencoolen (DT20),1.298918433694228,103.8503537627163
Jalan Besar (DT21),1.3051713878069,103.855295713435
Geylang Bahru (DT22),1.321301102283224,103.8716226271413
Mattar (DT23),1.326876715013358,103.8832475095416
Ubi (DT25),1.329974259739727,103.8992266554387
Kaki Bukit (DT26),1.334967359954289,103.9084593380455
Bedok North (DT27),1.334742116640915,103.9179783299497
Bedok Reservoir (DT28),1.336607829551007,103.9322346232856
